categoryid,parentid,root_category,depth_level,path,is_root,is_leaf,total_views,total_carts,total_purchases,unique_visitors,unique_items,view_to_cart_rate,cart_to_purchase_rate,category_cvr,cart_abandonment_rate,outofstock_items,outofstock_views,traffic_rank,cvr_rank
806,1497,1490,2,1490 > 1497 > 806,0,1,8996,209,51,5678,938,2.3233,24.4019,0.5669,75.5981,679,4049,62,479
1117,14,1600,3,1600 > 1684 > 14 > 1117,0,1,8888,235,76,4297,504,2.6440,32.3404,0.8551,67.6596,344,3838,63,344
239,1515,140,3,140 > 540 > 1515 > 239,0,1,8759,108,30,5616,308,1.2330,27.7778,0.3425,72.2222,255,5317,64,575
1172,810,378,2,378 > 810 > 1172,0,1,8662,101,32,6478,1257,1.1660,31.6832,0.3694,68.3168,1243,7208,65,561
1114,113,1532,2,1532 > 113 > 1114,0,1,8509,381,142,5647,1151,4.4776,37.2703,1.6688,62.7297,864,5237,66,125
535,426,1600,3,1600 > 872 > 426 > 535,0,1,8320,206,44,4236,691,2.4760,21.3592,0.5288,78.6408,555,5208,67,503
50,312,653,2,653 > 312 > 50,0,1,8211,225,47,4598,467,2.7402,20.8889,0.5724,79.1111,337,3385,68,477
406,872,1600,2,1600 > 872 > 406,0,1,8173,193,59,4430,301,2.3614,30.5699,0.7219,69.4301,231,4285,69,409
575,1257,395,2,395 > 1257 > 575,0,1,8072,96,28,5662,750,1.1893,29.1667,0.3469,70.8333,735,7431,70,572
1188,1497,1490,2,1490 > 1497 > 1188,0,1,8044,98,14,5078,391,1.2183,14.2857,0.1740,85.7143,305,3756,71,630
789,14,1600,3,1600 > 1684 > 14 > 789,0,1,7988,62,8,5532,289,0.7762,12.9032,0.1002,87.0968,244,3975,72,648
1265,1136,140,3,140 > 61 > 1136 > 1265,0,1,7951,299,85,5094,329,3.7605,28.4281,1.0690,71.5719,238,5313,73,270
35,20,1532,3,1532 > 1299 > 20 > 35,0,1,7829,189,91,5410,365,2.4141,48.1481,1.1623,51.8519,285,4078,74,243
1511,409,140,2,140 > 409 > 1511,0,1,7652,200,64,4546,455,2.6137,32.0000,0.8364,68.0000,339,3893,75,351
1589,1426,1482,2,1482 > 1426 > 1589,0,1,7647,207,42,3791,245,2.7069,20.2899,0.5492,79.7101,157,2931,76,487
1384,1458,140,3,140 > 384 > 1458 > 1384,0,1,7445,364,142,3629,317,4.8892,39.0110,1.9073,60.9890,206,3750,77,95
1098,897,140,3,140 > 61 > 897 > 1098,0,1,7428,332,99,4752,511,4.4696,29.8193,1.3328,70.1807,349,3254,78,197
1261,25,1490,2,1490 > 25 > 1261,0,1,7267,269,110,4130,295,3.7017,40.8922,1.5137,59.1078,212,3886,79,152
782,1562,653,3,653 > 351 > 1562 > 782,0,1,7220,181,81,4439,413,2.5069,44.7514,1.1219,55.2486,398,4947,80,252
1163,561,395,2,395 > 561 > 1163,0,1,7157,372,259,3839,718,5.1977,69.6237,3.6188,30.3763,450,2755,81,21
586,1519,140,2,140 > 1519 > 586,0,0,7130,266,78,4228,382,3.7307,29.3233,1.0940,70.6767,328,4424,82,260
914,226,1532,3,1532 > 107 > 226 > 914,0,1,7114,174,106,4693,599,2.4459,60.9195,1.4900,39.0805,420,3258,83,161
282,113,1532,2,1532 > 113 > 282,0,1,7109,179,63,4700,708,2.5179,35.1955,0.8862,64.8045,571,3817,84,335
228,1482,1482,1,1482 > 228,0,1,6842,217,65,4499,443,3.1716,29.9539,0.9500,70.0461,356,4127,85,315
1026,351,653,2,653 > 351 > 1026,0,1,6787,128,68,4509,383,1.8860,53.1250,1.0019,46.8750,273,3321,86,291
819,798,1490,2,1490 > 798 > 819,0,1,6734,148,50,3362,178,2.1978,33.7838,0.7425,66.2162,174,6697,87,397
818,852,1600,4,1600 > 1684 > 1606 > 852 > 818,0,1,6618,67,15,4046,280,1.0124,22.3881,0.2267,77.6119,252,5403,88,615
921,143,1482,2,1482 > 143 > 921,0,1,6542,167,61,3558,391,2.5527,36.5269,0.9324,63.4731,306,3121,89,321
175,1492,1532,3,1532 > 107 > 1492 > 175,0,1,6457,203,88,4395,268,3.1439,43.3498,1.3629,56.6502,162,2508,90,189
619,145,1490,2,1490 > 145 > 619,0,1,6416,293,55,3907,1222,4.5667,18.7713,0.8572,81.2287,897,4481,91,343
1500,1515,140,3,140 > 540 > 1515 > 1500,0,1,6371,211,88,3719,337,3.3119,41.7062,1.3813,58.2938,235,2402,92,182
1355,312,653,2,653 > 312 > 1355,0,1,6332,178,52,3629,291,2.8111,29.2135,0.8212,70.7865,188,2213,93,363
691,1079,395,3,395 > 1257 > 1079 > 691,0,1,6295,106,39,4395,885,1.6839,36.7925,0.6195,63.2075,769,4332,94,451
330,986,1532,2,1532 > 986 > 330,0,1,6285,251,91,4375,818,3.9936,36.2550,1.4479,63.7450,654,3839,95,168
1325,1684,1600,2,1600 > 1684 > 1325,0,1,6243,47,7,3955,260,0.7528,14.8936,0.1121,85.1064,234,4151,96,645
1317,897,140,3,140 > 61 > 897 > 1317,0,1,6170,303,125,3757,562,4.9109,41.2541,2.0259,58.7459,410,3205,97,82
1385,1202,653,2,653 > 1202 > 1385,0,1,6143,253,91,3524,299,4.1185,35.9684,1.4814,64.0316,257,4793,98,163
628,149,140,3,140 > 1519 > 149 > 628,0,1,6111,157,62,3298,289,2.5691,39.4904,1.0146,60.5096,206,2251,99,286
531,1058,140,3,140 > 61 > 1058 > 531,0,1,6103,155,61,4057,337,2.5397,39.3548,0.9995,60.6452,244,3530,100,292
686,594,1532,3,1532 > 1299 > 594 > 686,0,1,6052,422,236,4136,1058,6.9729,55.9242,3.8995,44.0758,598,2279,101,15
969,1141,1600,3,1600 > 55 > 1141 > 969,0,1,5994,220,64,2813,135,3.6703,29.0909,1.0677,70.9091,81,2124,102,271
999,1621,395,2,395 > 1621 > 999,0,1,5955,33,14,4513,453,0.5542,42.4242,0.2351,57.5758,444,5256,103,612
1220,125,1600,4,1600 > 872 > 1313 > 125 > 1220,0,1,5952,255,55,3166,274,4.2843,21.5686,0.9241,78.4314,192,1343,104,327
610,1239,653,3,653 > 351 > 1239 > 610,0,1,5897,241,80,2832,298,4.0868,33.1950,1.3566,66.8050,243,4323,105,190
124,104,140,3,140 > 164 > 104 > 124,0,1,5896,128,44,3779,118,2.1710,34.3750,0.7463,65.6250,87,3857,106,396
1349,121,140,3,140 > 540 > 121 > 1349,0,1,5863,218,112,3151,53,3.7182,51.3761,1.9103,48.6239,35,3233,107,94
1,854,1482,2,1482 > 854 > 1,0,1,5846,391,80,3757,641,6.6883,20.4604,1.3685,79.5396,384,2579,108,187
973,20,1532,3,1532 > 1299 > 20 > 973,0,1,5794,99,47,3929,248,1.7087,47.4747,0.8112,52.5253,209,4013,109,367
1258,1386,140,4,140 > 540 > 745 > 1386 > 1258,0,1,5759,101,38,3573,290,1.7538,37.6238,0.6598,62.3762,220,2801,110,433
1680,587,791,2,791 > 587 > 1680,0,1,5737,177,61,2730,2125,3.0852,34.4633,1.0633,65.5367,910,2081,111,272
1263,1637,140,3,140 > 384 > 1637 > 1263,0,1,5659,131,46,3623,103,2.3149,35.1145,0.8129,64.8855,78,1742,112,366
1663,1398,1482,2,1482 > 1398 > 1663,0,1,5659,102,30,3688,687,1.8024,29.4118,0.5301,70.5882,461,3276,112,502
1558,323,140,3,140 > 61 > 323 > 1558,0,1,5562,143,56,3666,236,2.5710,39.1608,1.0068,60.8392,175,3531,114,288
1694,1621,395,2,395 > 1621 > 1694,0,1,5557,94,44,3662,715,1.6916,46.8085,0.7918,53.1915,655,4406,115,373
656,1125,1532,3,1532 > 113 > 1125 > 656,0,1,5549,38,9,4213,224,0.6848,23.6842,0.1622,76.3158,208,4613,116,633
792,805,140,3,140 > 384 > 805 > 792,0,1,5548,120,40,2929,373,2.1629,33.3333,0.7210,66.6667,263,2714,117,410
1059,1696,378,2,378 > 1696 > 1059,0,1,5485,40,23,4166,570,0.7293,57.5000,0.4193,42.5000,563,5287,118,543
1343,25,1490,2,1490 > 25 > 1343,0,1,5481,113,41,3195,472,2.0617,36.2832,0.7480,63.7168,426,3573,119,393
352,859,859,1,859 > 352,0,1,5421,133,40,3694,526,2.4534,30.0752,0.7379,69.9248,445,4306,120,399
1388,1249,1482,2,1482 > 1249 > 1388,0,1,5416,173,53,3501,487,3.1942,30.6358,0.9786,69.3642,348,2763,121,303
496,893,395,3,395 > 1615 > 893 > 496,0,1,5400,34,11,3789,308,0.6296,32.3529,0.2037,67.6471,291,4358,122,625
360,1174,1532,3,1532 > 107 > 1174 > 360,0,1,5227,98,52,3995,779,1.8749,53.0612,0.9948,46.9388,629,3492,123,296
317,314,140,3,140 > 164 > 314 > 317,0,1,5223,183,86,3382,305,3.5037,46.9945,1.6466,53.0055,238,2515,124,132
1037,402,1482,3,1482 > 143 > 402 > 1037,0,1,5189,652,226,2205,49,12.5650,34.6626,4.3554,65.3374,20,412,125,13
822,1546,1224,3,1224 > 1443 > 1546 > 822,0,1,5167,144,48,2412,131,2.7869,33.3333,0.9290,66.6667,71,1431,126,323
1089,1621,395,2,395 > 1621 > 1089,0,1,5116,237,98,2922,58,4.6325,41.3502,1.9156,58.6498,26,2361,127,91
51,955,140,3,140 > 384 > 955 > 51,0,1,5048,86,24,3176,141,1.7036,27.9070,0.4754,72.0930,111,3169,128,526
624,871,1224,2,1224 > 871 > 624,0,1,5044,431,144,2284,806,8.5448,33.4107,2.8549,66.5893,366,2080,129,36
1231,901,679,2,679 > 901 > 1231,0,1,5002,196,87,3159,452,3.9184,44.3878,1.7393,55.6122,377,2885,130,117
1415,14,1600,3,1600 > 1684 > 14 > 1415,0,1,4970,164,67,2824,223,3.2998,40.8537,1.3481,59.1463,207,4071,131,193
1322,252,1600,3,1600 > 872 > 252 > 1322,0,1,4918,114,31,2912,106,2.3180,27.1930,0.6303,72.8070,82,2092,132,444
427,1313,1600,3,1600 > 872 > 1313 > 427,0,1,4735,285,101,2253,190,6.0190,35.4386,2.1331,64.5614,134,1472,133,75
411,561,395,2,395 > 561 > 411,0,1,4699,172,38,3154,85,3.6604,22.0930,0.8087,77.9070,62,2659,134,368
1196,1181,140,3,140 > 1486 > 1181 > 1196,0,1,4682,157,39,2985,991,3.3533,24.8408,0.8330,75.1592,833,3217,135,354
191,1383,140,3,140 > 409 > 1383 > 191,0,1,4651,193,92,2800,133,4.1496,47.6684,1.9781,52.3316,83,966,136,87
1312,713,395,3,395 > 1615 > 713 > 1312,0,1,4647,101,15,2617,494,2.1734,14.8515,0.3228,85.1485,410,2506,137,581
195,1079,395,3,395 > 1257 > 1079 > 195,0,1,4616,218,83,3047,557,4.7227,38.0734,1.7981,61.9266,470,2897,138,111
1007,485,250,3,250 > 1335 > 485 > 1007,0,1,4545,0,0,3797,2174,0.0000,,0.0000,,2174,4545,139,654
1659,825,140,4,140 > 540 > 1368 > 825 > 1659,0,1,4416,100,30,2702,123,2.2645,30.0000,0.6793,70.0000,79,2265,140,422
558,92,653,2,653 > 92 > 558,0,1,4381,100,39,2439,390,2.2826,39.0000,0.8902,61.0000,253,1708,141,334
29,1678,1698,2,1698 > 1678 > 29,0,1,4372,132,38,2420,152,3.0192,28.7879,0.8692,71.2121,149,4044,142,340
434,968,1600,2,1600 > 968 > 434,0,1,4356,623,134,2608,301,14.3021,21.5088,3.0762,78.4912,172,1846,143,28
1503,580,1600,3,1600 > 1684 > 580 > 1503,0,1,4344,147,47,2426,363,3.3840,31.9728,1.0820,68.0272,265,2361,144,266
1301,1034,1698,2,1698 > 1034 > 1301,0,1,4328,28,11,3292,1392,0.6470,39.2857,0.2542,60.7143,1389,4290,145,605
1493,594,1532,3,1532 > 1299 > 594 > 1493,0,1,4277,438,155,2947,748,10.2408,35.3881,3.6240,64.6119,442,2075,146,20
1303,252,1600,3,1600 > 872 > 252 > 1303,0,1,4270,71,20,2773,180,1.6628,28.1690,0.4684,71.8310,158,3726,147,529
565,500,1532,2,1532 > 500 > 565,0,1,4241,29,11,2817,332,0.6838,37.9310,0.2594,62.0690,321,3502,148,603
1247,593,1482,2,1482 > 593 > 1247,0,1,4215,124,21,2125,285,2.9419,16.9355,0.4982,83.0645,192,1881,149,519
1277,312,653,2,653 > 312 > 1277,0,1,4189,109,35,2426,379,2.6021,32.1101,0.8355,67.8899,246,1638,150,352
324,1145,1532,3,1532 > 113 > 1145 > 324,0,1,4123,135,67,2679,637,3.2743,49.6296,1.6250,50.3704,531,2334,151,135
1298,335,140,3,140 > 1486 > 335 > 1298,0,1,4027,51,16,3120,462,1.2665,31.3725,0.3973,68.6275,446,3488,152,552
1464,745,140,3,140 > 540 > 745 > 1464,0,1,3943,149,65,2074,135,3.7788,43.6242,1.6485,56.3758,99,1685,153,130
1002,879,1482,2,1482 > 879 > 1002,0,1,3940,112,26,2575,384,2.8426,23.2143,0.6599,76.7857,286,2341,154,432
706,713,395,3,395 > 1615 > 713 > 706,0,1,3925,28,12,2945,205,0.7134,42.8571,0.3057,57.1429,179,2862,155,591
471,1368,140,3,140 > 540 > 1368 > 471,0,1,3894,138,41,2428,180,3.5439,29.7101,1.0529,70.2899,148,2366,156,276
1567,1531,1482,2,1482 > 1531 > 1567,0,1,3835,152,28,2151,469,3.9635,18.4211,0.7301,81.5789,333,1627,157,404
405,351,653,2,653 > 351 > 405,0,1,3823,35,11,2614,153,0.9155,31.4286,0.2877,68.5714,130,2365,158,594
532,945,653,2,653 > 945 > 532,0,1,3786,50,13,2309,120,1.3207,26.0000,0.3434,74.0000,113,3313,159,574
529,623,1482,3,1482 > 381 > 623 > 529,0,1,3773,54,10,2555,55,1.4312,18.5185,0.2650,81.4815,52,3379,160,600
1179,580,1600,3,1600 > 1684 > 580 > 1179,0,1,3741,138,48,2000,364,3.6889,34.7826,1.2831,65.2174,231,1756,161,205
356,92,653,2,653 > 92 > 356,0,1,3730,132,58,2366,126,3.5389,43.9394,1.5550,56.0606,66,1348,162,147
1666,1684,1600,2,1600 > 1684 > 1666,0,1,3707,72,25,2139,230,1.9423,34.7222,0.6744,65.2778,203,2233,163,425
523,593,1482,2,1482 > 593 > 523,0,1,3640,89,6,2641,325,2.4451,6.7416,0.1648,93.2584,297,2987,164,632
248,1596,653,2,653 > 1596 > 248,0,1,3639,37,8,2411,245,1.0168,21.6216,0.2198,78.3784,220,2851,165,618
958,1041,1600,4,1600 > 872 > 1313 > 1041 > 958,0,1,3638,105,30,1984,356,2.8862,28.5714,0.8246,71.4286,280,2426,166,359
1593,1673,1224,2,1224 > 1673 > 1593,0,1,3614,231,91,1716,309,6.3918,39.3939,2.5180,60.6061,124,1095,167,49
1473,859,859,1,859 > 1473,0,1,3590,177,56,1643,155,4.9304,31.6384,1.5599,68.3616,91,1452,168,146
1344,713,395,3,395 > 1615 > 713 > 1344,0,1,3587,61,13,2079,286,1.7006,21.3115,0.3624,78.6885,218,2120,169,565
739,1181,140,3,140 > 1486 > 1181 > 739,0,1,3559,67,14,2336,795,1.8826,20.8955,0.3934,79.1045,686,2905,170,553
1085,1228,140,4,140 > 540 > 121 > 1228 > 1085,0,1,3508,115,43,2304,297,3.2782,37.3913,1.2258,62.6087,221,1480,171,223
225,593,1482,2,1482 > 593 > 225,0,1,3500,94,18,2444,381,2.6857,19.1489,0.5143,80.8511,280,1976,172,514
484,127,653,3,653 > 312 > 127 > 484,0,1,3490,62,20,1925,103,1.7765,32.2581,0.5731,67.7419,79,1050,173,476
1526,1621,395,2,395 > 1621 > 1526,0,1,3461,58,14,2729,199,1.6758,24.1379,0.4045,75.8621,175,2224,174,550
1273,125,1600,4,1600 > 872 > 1313 > 125 > 1273,0,1,3446,89,23,1858,103,2.5827,25.8427,0.6674,74.1573,72,597,175,429
988,727,378,2,378 > 727 > 988,0,1,3443,23,14,2402,947,0.6680,60.8696,0.4066,39.1304,901,3136,176,548
120,897,140,3,140 > 61 > 897 > 120,0,1,3416,103,46,1811,119,3.0152,44.6602,1.3466,55.3398,64,1283,177,194
633,568,140,3,140 > 384 > 568 > 633,0,1,3393,142,57,1873,133,4.1851,40.1408,1.6799,59.8592,69,1442,178,123
295,20,1532,3,1532 > 1299 > 20 > 295,0,1,3385,65,23,2335,165,1.9202,35.3846,0.6795,64.6154,141,1947,179,421
167,1066,1532,3,1532 > 293 > 1066 > 167,0,1,3334,30,12,2464,76,0.8998,40.0000,0.3599,60.0000,73,2752,180,566
479,520,1600,4,1600 > 1684 > 1606 > 520 > 479,0,0,3305,65,12,1924,505,1.9667,18.4615,0.3631,81.5385,450,2512,181,564
1073,580,1600,3,1600 > 1684 > 580 > 1073,0,1,3292,100,32,1871,262,3.0377,32.0000,0.9721,68.0000,184,1669,182,306
697,418,1394,2,1394 > 418 > 697,0,1,3291,0,0,2739,183,0.0000,,0.0000,,183,3291,183,654
227,602,791,2,791 > 602 > 227,0,1,3266,137,47,1674,1009,4.1947,34.3066,1.4391,65.6934,476,1475,184,171
1250,1423,791,2,791 > 1423 > 1250,0,1,3261,144,47,1638,1482,4.4158,32.6389,1.4413,67.3611,656,1307,185,170
804,187,1600,4,1600 > 872 > 1313 > 187 > 804,0,1,3248,121,45,1843,161,3.7254,37.1901,1.3855,62.8099,79,789,186,180
1020,1329,140,3,140 > 1519 > 1329 > 1020,0,1,3140,119,52,1772,175,3.7898,43.6975,1.6561,56.3025,141,2429,187,127
1445,293,1532,2,1532 > 293 > 1445,0,1,3111,14,4,2102,169,0.4500,28.5714,0.1286,71.4286,150,2028,188,637
876,580,1600,3,1600 > 1684 > 580 > 876,0,1,3102,55,22,1761,281,1.7730,40.0000,0.7092,60.0000,196,1860,189,414
967,378,378,1,378 > 967,0,1,3081,52,10,2453,267,1.6878,19.2308,0.3246,80.7692,251,2402,190,580
1119,125,1600,4,1600 > 872 > 1313 > 125 > 1119,0,1,3081,63,11,1915,249,2.0448,17.4603,0.3570,82.5397,209,1685,190,567
1029,1181,140,3,140 > 1486 > 1181 > 1029,0,1,3057,53,19,2219,368,1.7337,35.8491,0.6215,64.1509,347,2695,192,448
1378,322,140,3,140 > 1486 > 322 > 1378,0,1,3053,50,16,2146,785,1.6377,32.0000,0.5241,68.0000,757,2683,193,507
746,1200,395,2,395 > 1200 > 746,0,0,3047,66,33,1487,523,2.1661,50.0000,1.0830,50.0000,353,1360,194,265
1035,920,140,2,140 > 920 > 1035,0,1,2988,103,53,1860,228,3.4471,51.4563,1.7738,48.5437,178,1516,195,112
1318,986,1532,2,1532 > 986 > 1318,0,1,2984,95,7,2172,413,3.1836,7.3684,0.2346,92.6316,398,2748,196,613
568,384,140,2,140 > 384 > 568,0,0,2979,68,22,2059,167,2.2826,32.3529,0.7385,67.6471,154,1957,197,398
1047,127,653,3,653 > 312 > 127 > 1047,0,1,2978,72,29,1645,146,2.4177,40.2778,0.9738,59.7222,79,553,198,305
1417,1329,140,3,140 > 1519 > 1329 > 1417,0,1,2977,109,42,1614,148,3.6614,38.5321,1.4108,61.4679,100,997,199,175
1076,986,1532,2,1532 > 986 > 1076,0,1,2935,85,5,2029,486,2.8961,5.8824,0.1704,94.1176,468,2566,200,631
163,945,653,2,653 > 945 > 163,0,1,2929,66,9,1507,93,2.2533,13.6364,0.3073,86.3636,69,1637,201,590
